Project name,Description of the project,Member_0,Member_0_role,Member_0_skills,Member_1,Member_1_role,Member_1_skills,Member_2,Member_2_role,Member_2_skills,Project_skills
TeamSync,"TeamSync aims to improve the quality and balance of student teams by offering a data-driven, user-friendly experience for discovering, evaluating, and matching with potential teammates.",Member_0_0,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'TensorFlow (Python)', 'PHPUnit (PHP)', 'Visual Basic', 'Ruby on Rails (Ruby)']",Member_1_49,Frontend,"['JavaScript', 'HTML', 'CSS', 'React (JavaScript)', 'Three.js (JavaScript)', 'BeautifulSoup (Python)', 'Actix (Rust)', 'Ktor (Kotlin)']",Member_2_98,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Julia', 'Haskell']","['C#', 'ASP.NET Core (C#)', 'Entity Framework (C#)', 'JavaScript', 'HTML', 'CSS', 'D3.js (JavaScript)', 'Swift', 'Echo (Go)', 'Scrapy (Python)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'R', 'Rocket (Rust)', 'Django (Python)', 'Yii (PHP)']"
RandomCoffee,"Random Coffee is a web-based service integrated within a Telegram bot, designed to foster meaningful connections through casual meetups. Users can register, set their preferences, and choose relevant tags that reflect their interests or professional background. Once a week, the system matches them with others who share similar tags and suggests setting up a meeting.
 
 The bot is intended for deployment within companies, universities, or other communities to encourage networking, experience sharing, and informal communication among members. By facilitating regular, low-pressure interactions, Random Coffee helps build stronger internal networks and promotes a culture of collaboration and openness.",Member_0_1,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Requests (Python)', 'scikit-learn (Python)', 'TypeScript', 'Haskell']",Member_1_50,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'OpenCV (C++)', 'BeautifulSoup (Python)']",Member_2_99,Frontend,"['JavaScript', 'HTML', 'CSS', 'Blazor (C#)', 'Angular (TypeScript)', 'Laravel (PHP)', 'Scrapy (Python)']","['Java', 'Hapi (JavaScript)', 'Sequelize (JavaScript)', 'Spring Boot (Java)', 'Haskell', 'Dart', 'JavaScript', 'HTML', 'CSS', 'Svelte (JavaScript)', 'jQuery (JavaScript)', 'Akka (Scala)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Fortran', 'C', 'Requests (Python)']"
EvOps 🐳,A self-hosted platform to share and discover local events (alternative to Opportunities For You).,Member_0_2,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Fortran', 'Haskell', 'D3.js (JavaScript)', 'Flask (Python)', 'Kotlin', 'Yii (PHP)']",Member_1_51,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'PyTorch (Python)', 'Requests (Python)', 'Sequelize (JavaScript)', 'Rust', 'Zsh (Shell)']",Member_2_100,Frontend,"['JavaScript', 'HTML', 'CSS', 'Dart']","['Python', 'Django (Python)', 'Julia', 'JavaScript', 'HTML', 'CSS', 'Next.js (JavaScript)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Fortran', 'RxJS (TypeScript)', 'Julia', 'Yii (PHP)', 'Exposed (Kotlin)']"
UrTraining,"A web-based platform for creating, distributing and following personalized training plans. Users receive AI-powered workout recommendations based on their goals and conditions. Coaches can publish and manage their own training programs quickly and comfortably.",Member_0_3,Backend,"['Go', 'Gin (Go)']",Member_1_52,Frontend,"['JavaScript', 'HTML', 'CSS', 'Blazor (C#)', 'Vert.x (Java)', 'Matplotlib (Python)', 'Micronaut (Java)']",Member_2_101,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'PyTorch (Python)', 'Exposed (Kotlin)', 'Apex', 'Assembly']","['Java', 'Express.js (JavaScript)', 'TensorFlow (Python)', 'JavaScript', 'Shell (Bash)', 'JavaScript', 'HTML', 'CSS', 'Swift', 'Dart', 'SwiftUI (Swift)', 'Unity (C#)', 'D3.js (JavaScript)', 'Vert.x (Java)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Fortran', 'PyTorch (Python)', 'R', 'React (JavaScript)', 'Swift', 'Unreal Engine (C++)']"
Online game 7Red,"An online version of the Russian game ""7Red"" with with secure user authentication, a main menu for navigation, and multiple game modes: Play with Friends (private rooms), Play Online (matchmaking), and Play with AI.
 
 It includes player statistics, achievements, and a rules section for guidance. Users can customize profiles, avatars, and language in settings.
 
 The backend features real-time multiplayer sync, a database for accounts and live games, and user-friendly error handling for a smooth experience.",Member_0_4,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Requests (Python)', 'PyTorch (Python)', 'Fortran', 'RxJS (TypeScript)', 'Haskell', 'SQL']",Member_1_53,Backend,"['Java', 'Jakarta EE (Java)', 'JavaScript', 'FastAPI (Python)', 'Revel (Go)', 'Shell (Bash)', 'POCO (C++)']",Member_2_102,Frontend,"['JavaScript', 'HTML', 'CSS', 'D3.js (JavaScript)', 'Revel (Go)', 'BeautifulSoup (Python)', 'Diesel (Rust)']","['Java', 'Spring Boot (Java)', 'Hapi (JavaScript)', 'Micronaut (Java)', 'JavaScript', 'HTML', 'CSS', 'Angular (TypeScript)', 'Bash-it (Shell)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'OpenCV (C++)', 'TensorFlow (Python)', 'Vapor (Swift)']"
Solar Wind,"Our app is designed to connect people through their shared passion for sports and an active lifestyle. Whether you're looking for a workout buddy, someone to play a match with, or just want to meet new people who love staying active, this is the place to start.
 Explore nearby users with similar interests, join local sports events, or simply connect and chat with like-minded athletes. From casual joggers to competitive players — everyone is welcome.",Member_0_5,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Fortran', 'Vert.x (Java)', 'Crystal', 'jQuery (JavaScript)', 'JUnit (Java)']",Member_1_54,Frontend,"['JavaScript', 'HTML', 'CSS', 'RxJS (TypeScript)']",Member_2_103,Backend,"['Java', 'JavaScript', 'Hanami (Ruby)', 'Blazor (C#)', 'TypeORM (TypeScript)', 'Dart']","['Python', 'Django (Python)', 'Tornado (Python)', 'Bottle (Python)', 'NumPy (Python)', 'React (JavaScript)', 'Vert.x (Java)', 'Solidity', 'JavaScript', 'HTML', 'CSS', 'D3.js (JavaScript)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'OpenCV (C++)', 'Rocket (Rust)']"
Project 'Control',"A software and hardware product for the robotics laboratory of Innopolis University in order to study and improve skills in the field of Control Theory, Reinforcement Learning (RL), Shapers and other areas of Modern Robotics",Member_0_6,Backend,"['Python', 'Bottle (Python)', 'Tornado (Python)']",Member_1_55,Backend,"['C#', 'Entity Framework (C#)', 'ASP.NET Core (C#)', 'Hapi (JavaScript)', 'Hibernate (Java)', 'Symfony (PHP)']",Member_2_104,Backend,"['Python', 'Django (Python)', 'Flask (Python)', 'TypeScript']","['Go', 'Beego (Go)', 'GORM (Go)', 'Alamofire (Swift)', 'Scrapy (Python)', 'Slick (Scala)', 'Scala', 'JavaScript', 'HTML', 'CSS', 'Angular (TypeScript)', 'Shell (Bash)', 'Unreal Engine (C++)', 'Xamarin (C#)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'BeautifulSoup (Python)']"
SmartClause,"Smart Clause is an AI-powered service for contract analysis that helps users identify legal risks, inconsistencies, and compliance issues without requiring extensive legal expertise. The platform leverages semantic search through vectorized legal databases and language models to provide comprehensive contract review and risk assessment.",Member_0_7,Frontend,"['JavaScript', 'HTML', 'CSS', 'React (JavaScript)', 'Elm', 'TypeScript', 'ABAP']",Member_1_56,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Julia', 'Requests (Python)', 'Scala', 'Spring (Kotlin)', 'Angel (Dart)']",Member_2_105,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'BeautifulSoup (Python)', 'Requests (Python)', 'GORM (Go)', 'Perl']","['Java', 'Sequelize (JavaScript)', 'Hibernate (Java)', 'Flask (Python)', 'JavaScript', 'HTML', 'CSS', 'Svelte (JavaScript)', 'TypeScript', 'Shell (Bash)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'scikit-learn (Python)', 'R', 'PyTorch (Python)', 'Rust', 'Slick (Scala)', 'Assembly']"
Verilog contest platform,"A contest platform for practicing digital design using hardware description languages, allowing students to solve problems by writing and testing code in a sandboxed environment with automated verification",Member_0_8,Backend,"['Python', 'Tornado (Python)', 'Django (Python)']",Member_1_57,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'R', 'Apex', 'Angel (Dart)', 'Vapor (Swift)', 'Entity Framework (C#)', 'Fortran']",Member_2_106,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'BeautifulSoup (Python)']","['Python', 'Bottle (Python)', 'Django (Python)', 'Zsh (Shell)', 'C#', 'JavaScript', 'HTML', 'CSS', 'Three.js (JavaScript)', 'Solidity', 'Julia', 'Ktor (Kotlin)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Requests (Python)', 'Julia', 'scikit-learn (Python)']"
EasyTravel,"EasyTravel is a smart service that helps people find interesting places in the city to walk or relax. It is enough for the user to enter a request in free form, for example:
 ""I came to Kazan for a day, I want to have an interesting time, I love museums""
 The service understands the meaning of such a query (and not just keywords) and suggests suitable places to visit — personally, taking into account interests and context.",Member_0_9,Frontend,"['JavaScript', 'HTML', 'CSS', 'TypeScript', 'Kotlin', 'Powershell', 'Entity Framework (C#)']",Member_1_58,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'R', 'Django (Python)']",Member_2_107,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'scikit-learn (Python)', 'Requests (Python)', 'R', 'Angel (Dart)', 'Java', 'Lua', 'Zsh (Shell)']","['Java', 'Hapi (JavaScript)', 'Spring Boot (Java)', 'Micronaut (Java)', 'Qt (C++)', 'Scala', 'JavaScript', 'HTML', 'CSS', 'React (JavaScript)', 'jQuery (JavaScript)', 'Swift', 'Alamofire (Swift)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'BeautifulSoup (Python)', 'Hibernate (Java)']"
